youtube_id,total_comments,total_languages,undetected_languages,af,am,ar,az,be,bg,bn,bs,ca,ceb,co,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,haw,he,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iw,ja,jw,ka,kk,km,kn,ko,ku,ky,la,lb,lo,lt,lv,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ny,or,pa,pl,ps,pt,ro,ru,rw,si,sk,sl,sm,sn,so,sq,sr,st,su,sv,sw,ta,te,tg,th,tk,tl,tr,tt,ug,uk,ur,uz,vi,xh,yi,yo,zh,zh-cn,zh-tw,zu
8zUlnoHjJV4,1515,40,0,0,1,5,3,0,0,0,3,0,0,0,1,0,1,20,0,151,0,7,2,0,0,11,2,0,1,0,0,0,0,0,1,23,0,0,0,0,0,3,0,0,2,0,56,0,1,0,0,0,1096,0,0,4,1,0,0,0,0,0,1,1,0,31,0,0,0,3,1,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,2,8,0,1,0,0,0,3,0,0,0,49,0,0,0
Dj2nNhZVrOw,898,37,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,111,0,4,2,0,0,16,0,0,0,0,1,0,0,0,0,25,0,1,0,0,2,3,0,0,2,0,75,0,0,0,0,0,567,0,0,5,0,0,1,2,0,0,0,1,0,16,1,5,0,1,0,1,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,31,0,0,0
AZZh295Y_go,886,54,0,0,3,7,1,0,0,1,0,1,0,0,19,1,2,5,2,392,1,18,6,0,3,23,4,0,1,0,0,0,0,0,3,25,0,0,0,0,0,3,0,0,0,0,97,0,0,0,1,0,102,0,0,15,1,0,0,0,0,0,0,0,0,23,5,6,0,2,2,2,0,3,0,3,1,2,1,1,1,3,1,1,0,0,0,0,0,0,0,6,1,1,0,0,1,0,2,3,0,0,0,0,0,3,0,0,0,67,0,0,0
0QG5p1pXtaA,397,35,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,118,0,2,2,2,0,7,8,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,73,0,0,0,1,0,114,0,0,5,1,0,1,0,0,0,0,1,0,9,0,5,0,1,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0
QlzWHuvD-9g,171,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LZBI9wFGNDU,12165,95,0,1,16,257,31,1,6,10,2,11,0,0,28,12,28,138,1,7293,9,501,46,43,75,182,69,0,1,0,9,1,0,0,24,85,0,9,2,19,15,229,0,3,110,0,227,0,6,5,4,3,621,2,1,70,4,4,98,9,3,0,3,2,3,90,68,56,0,16,50,24,0,2,0,41,6,114,11,132,4,2,14,18,0,0,0,3,2,0,0,55,10,1,1,0,93,0,51,309,0,10,4,12,0,21,5,0,0,553,0,0,1
MbOXI-S-k14,423,38,0,0,1,6,0,0,0,0,1,1,0,0,1,0,3,0,0,139,1,13,1,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,11,0,0,0,0,17,0,2,0,0,0,111,0,0,5,1,0,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0,0,0,0,0,3,1,1,3,0,0,1,0,0,0,0,0,0,0,6,10,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,25,0,0,0
89fCmIOkL9o,30492,95,0,15,38,227,110,58,100,5,30,55,0,0,238,13,34,500,5,11483,54,2166,62,23,40,746,231,0,38,0,132,4,0,0,92,536,0,16,13,56,27,171,0,7,127,0,1359,0,58,304,45,0,2450,3,76,392,65,12,70,6,1,0,63,9,112,630,92,34,0,41,94,35,0,23,0,57,13,639,30,2943,21,40,72,26,0,0,0,8,231,0,0,92,43,10,6,0,38,0,42,698,0,16,118,17,0,58,8,0,0,1459,0,0,8
FUvdnUUqU2w,367,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,1,0,20,0,0,0,1,0,270,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0
VLpUsmBafMQ,22351,97,0,73,52,280,65,6,16,17,15,32,0,0,46,20,53,231,6,10024,34,865,172,25,43,728,276,0,12,0,40,2,0,0,161,494,0,26,22,53,18,188,0,10,262,0,1017,0,80,9,45,2,2132,11,3,309,42,7,33,15,3,0,2,6,16,561,67,165,0,51,136,62,0,1,3,145,4,279,26,151,3,8,98,35,0,0,0,1,12,0,0,178,62,15,1,0,138,0,31,335,0,29,20,32,0,200,18,0,0,1107,0,0,3
FKdtTbkkU1Y,180,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,94,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,5,0,0,0,3,0,34,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0
