youtube_id,total_comments,total_languages,undetected_languages,af,am,ar,az,be,bg,bn,bs,ca,ceb,co,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,haw,he,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iw,ja,jw,ka,kk,km,kn,ko,ku,ky,la,lb,lo,lt,lv,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ny,or,pa,pl,ps,pt,ro,ru,rw,si,sk,sl,sm,sn,so,sq,sr,st,su,sv,sw,ta,te,tg,th,tk,tl,tr,tt,ug,uk,ur,uz,vi,xh,yi,yo,zh-cn,zh-tw,zu
Dj2nNhZVrOw,898,22,2849,0,0,0,2,0,0,2,0,0,0,0,5,0,2,10,0,439,0,10,1,0,0,48,14,0,0,0,0,0,0,0,1,53,0,0,0,0,0,1,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZZh295Y_go,886,21,2300,0,0,0,0,0,0,1,0,0,0,0,54,0,2,15,6,1204,0,38,1,0,0,49,8,0,0,0,0,0,0,0,0,40,0,0,0,0,0,4,0,0,9,0,31,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0QG5p1pXtaA,397,17,1417,0,0,1,0,0,0,0,0,0,0,0,3,0,0,15,0,401,0,13,0,0,0,18,13,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QlzWHuvD-9g,171,21,2079,0,0,0,0,0,0,2,0,0,0,0,2,0,1,45,1,937,0,24,1,0,0,9,27,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,13,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZBI9wFGNDU,12165,37,34072,0,0,25,15,0,0,29,0,0,0,0,73,0,62,676,0,18812,0,645,59,3,0,351,356,0,0,0,0,0,0,0,1,181,0,0,0,2,0,88,0,0,347,0,287,0,0,0,0,0,29,0,0,0,0,0,273,7,0,0,0,1,0,1,0,88,0,0,65,1,0,0,3,56,0,41,69,3,0,0,4,30,0,0,0,0,0,0,0,109,0,1,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
MbOXI-S-k14,423,18,1905,0,0,0,0,0,0,0,0,0,0,0,1,0,3,20,0,435,0,19,1,0,0,28,21,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89fCmIOkL9o,30492,39,155123,0,0,10,31,0,0,68,0,0,0,0,632,1,389,4016,2,42471,0,1905,240,8,0,1695,1641,0,0,0,0,0,0,0,4,1288,0,0,0,17,0,109,0,0,612,0,841,0,0,0,0,1,2,0,0,0,0,0,70,15,0,0,0,0,0,3,0,195,0,0,184,4,0,0,2,152,0,110,81,44,0,0,16,22,0,0,0,0,0,0,0,236,0,1,1,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0
FUvdnUUqU2w,367,14,1098,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,79,0,1,0,0,0,24,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLpUsmBafMQ,22351,37,66646,0,0,15,10,0,0,33,0,0,0,0,138,0,105,735,14,29560,0,803,104,8,0,1235,584,0,0,0,0,0,0,0,10,1122,0,0,0,16,0,78,0,0,431,0,984,0,0,0,0,0,10,0,0,0,0,0,25,3,0,0,0,1,0,2,0,116,0,0,187,3,0,0,1,195,0,57,45,5,0,0,8,17,0,0,0,0,0,0,0,160,0,0,2,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
FKdtTbkkU1Y,180,17,552,0,0,0,0,0,0,0,0,0,0,0,3,0,4,12,0,259,0,5,2,0,0,6,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q5tmSFR8uHk,851,20,2340,0,0,0,1,0,0,2,0,0,0,0,10,0,1,17,0,557,0,9,1,0,0,46,14,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
