video_id,language,comment_count,percentage,total_comments,total_languages
047UJ2uGF8M,el,3,0.07,4271,30
047UJ2uGF8M,az,2,0.05,4271,30
047UJ2uGF8M,eu,1,0.02,4271,30
047UJ2uGF8M,hu,1,0.02,4271,30
047UJ2uGF8M,no,1,0.02,4271,30
047UJ2uGF8M,pa,1,0.02,4271,30
047UJ2uGF8M,sq,1,0.02,4271,30
Kg7KQotNgKA,en,996,189.35,526,22
Kg7KQotNgKA,fr,33,6.27,526,22
Kg7KQotNgKA,de,27,5.13,526,22
Kg7KQotNgKA,fi,25,4.75,526,22
Kg7KQotNgKA,hi,15,2.85,526,22
Kg7KQotNgKA,ja,13,2.47,526,22
Kg7KQotNgKA,lv,12,2.28,526,22
Kg7KQotNgKA,it,10,1.9,526,22
Kg7KQotNgKA,pl,8,1.52,526,22
Kg7KQotNgKA,bn,7,1.33,526,22
Kg7KQotNgKA,es,7,1.33,526,22
Kg7KQotNgKA,nl,7,1.33,526,22
Kg7KQotNgKA,da,4,0.76,526,22
Kg7KQotNgKA,mt,3,0.57,526,22
Kg7KQotNgKA,cs,2,0.38,526,22
Kg7KQotNgKA,ro,2,0.38,526,22
Kg7KQotNgKA,sv,2,0.38,526,22
Kg7KQotNgKA,az,1,0.19,526,22
Kg7KQotNgKA,et,1,0.19,526,22
Kg7KQotNgKA,ru,1,0.19,526,22
Kg7KQotNgKA,sk,1,0.19,526,22
Kg7KQotNgKA,sl,1,0.19,526,22
BLRbN-fptmY,en,70,95.89,73,10
BLRbN-fptmY,ja,7,9.59,73,10
BLRbN-fptmY,de,6,8.22,73,10
BLRbN-fptmY,fi,6,8.22,73,10
BLRbN-fptmY,hi,2,2.74,73,10
BLRbN-fptmY,sl,2,2.74,73,10
BLRbN-fptmY,cs,1,1.37,73,10
BLRbN-fptmY,et,1,1.37,73,10
BLRbN-fptmY,fr,1,1.37,73,10
BLRbN-fptmY,it,1,1.37,73,10
dHz35uVUTyQ,en,3725,146.71,2539,29
dHz35uVUTyQ,hi,247,9.73,2539,29
dHz35uVUTyQ,fi,202,7.96,2539,29
dHz35uVUTyQ,ja,93,3.66,2539,29
dHz35uVUTyQ,es,82,3.23,2539,29
dHz35uVUTyQ,de,66,2.6,2539,29
dHz35uVUTyQ,fr,60,2.36,2539,29
dHz35uVUTyQ,it,26,1.02,2539,29
dHz35uVUTyQ,pl,19,0.75,2539,29
dHz35uVUTyQ,da,17,0.67,2539,29
dHz35uVUTyQ,nl,15,0.59,2539,29
dHz35uVUTyQ,tr,15,0.59,2539,29
dHz35uVUTyQ,cs,14,0.55,2539,29
dHz35uVUTyQ,mt,13,0.51,2539,29
dHz35uVUTyQ,sv,11,0.43,2539,29
dHz35uVUTyQ,et,8,0.32,2539,29
dHz35uVUTyQ,id,8,0.32,2539,29
dHz35uVUTyQ,lt,8,0.32,2539,29
dHz35uVUTyQ,pt,7,0.28,2539,29
dHz35uVUTyQ,ro,5,0.2,2539,29
dHz35uVUTyQ,bn,3,0.12,2539,29
dHz35uVUTyQ,ko,2,0.08,2539,29
dHz35uVUTyQ,no,2,0.08,2539,29
dHz35uVUTyQ,ar,1,0.04,2539,29
dHz35uVUTyQ,hu,1,0.04,2539,29
dHz35uVUTyQ,lv,1,0.04,2539,29
dHz35uVUTyQ,ru,1,0.04,2539,29
dHz35uVUTyQ,sk,1,0.04,2539,29
dHz35uVUTyQ,sl,1,0.04,2539,29
vrZPnpaT3Ts,en,10455,153.73,6801,32
vrZPnpaT3Ts,fi,529,7.78,6801,32
vrZPnpaT3Ts,hi,448,6.59,6801,32
vrZPnpaT3Ts,de,340,5.0,6801,32
vrZPnpaT3Ts,es,280,4.12,6801,32
vrZPnpaT3Ts,ja,275,4.04,6801,32
vrZPnpaT3Ts,fr,178,2.62,6801,32
vrZPnpaT3Ts,it,93,1.37,6801,32
vrZPnpaT3Ts,pl,68,1.0,6801,32
vrZPnpaT3Ts,cs,52,0.76,6801,32
vrZPnpaT3Ts,mt,51,0.75,6801,32
vrZPnpaT3Ts,da,43,0.63,6801,32
vrZPnpaT3Ts,id,33,0.49,6801,32
vrZPnpaT3Ts,nl,29,0.43,6801,32
vrZPnpaT3Ts,et,25,0.37,6801,32
vrZPnpaT3Ts,ro,24,0.35,6801,32
vrZPnpaT3Ts,sv,24,0.35,6801,32
vrZPnpaT3Ts,pt,17,0.25,6801,32
vrZPnpaT3Ts,el,12,0.18,6801,32
vrZPnpaT3Ts,sl,7,0.1,6801,32
vrZPnpaT3Ts,lt,6,0.09,6801,32
vrZPnpaT3Ts,ar,5,0.07,6801,32
vrZPnpaT3Ts,bn,5,0.07,6801,32
vrZPnpaT3Ts,tr,4,0.06,6801,32
vrZPnpaT3Ts,ko,3,0.04,6801,32
vrZPnpaT3Ts,sk,3,0.04,6801,32
vrZPnpaT3Ts,hu,2,0.03,6801,32
vrZPnpaT3Ts,ru,2,0.03,6801,32
vrZPnpaT3Ts,kn,1,0.01,6801,32
vrZPnpaT3Ts,lv,1,0.01,6801,32
vrZPnpaT3Ts,no,1,0.01,6801,32
vrZPnpaT3Ts,sq,1,0.01,6801,32
8V5yzu158XE,en,935,137.91,678,24
8V5yzu158XE,fi,40,5.9,678,24
8V5yzu158XE,hi,35,5.16,678,24
8V5yzu158XE,es,29,4.28,678,24
8V5yzu158XE,de,28,4.13,678,24
8V5yzu158XE,ja,24,3.54,678,24
8V5yzu158XE,et,19,2.8,678,24
8V5yzu158XE,fr,14,2.06,678,24
8V5yzu158XE,mt,10,1.47,678,24
8V5yzu158XE,it,9,1.33,678,24
8V5yzu158XE,cs,7,1.03,678,24
8V5yzu158XE,nl,7,1.03,678,24
8V5yzu158XE,id,5,0.74,678,24
8V5yzu158XE,pl,5,0.74,678,24
8V5yzu158XE,lv,4,0.59,678,24
8V5yzu158XE,sv,4,0.59,678,24
8V5yzu158XE,da,3,0.44,678,24
8V5yzu158XE,pt,3,0.44,678,24
8V5yzu158XE,bn,2,0.29,678,24
8V5yzu158XE,ko,2,0.29,678,24
8V5yzu158XE,az,1,0.15,678,24
8V5yzu158XE,el,1,0.15,678,24
8V5yzu158XE,he,1,0.15,678,24
8V5yzu158XE,ro,1,0.15,678,24
0E5YMIUgpAU,en,5949,186.02,3198,30
0E5YMIUgpAU,ja,132,4.13,3198,30
0E5YMIUgpAU,de,111,3.47,3198,30
0E5YMIUgpAU,es,104,3.25,3198,30
0E5YMIUgpAU,fi,102,3.19,3198,30
0E5YMIUgpAU,fr,69,2.16,3198,30
0E5YMIUgpAU,hi,56,1.75,3198,30
0E5YMIUgpAU,it,43,1.34,3198,30
0E5YMIUgpAU,nl,34,1.06,3198,30
0E5YMIUgpAU,cs,31,0.97,3198,30
0E5YMIUgpAU,da,22,0.69,3198,30
0E5YMIUgpAU,pl,21,0.66,3198,30
0E5YMIUgpAU,mt,11,0.34,3198,30
0E5YMIUgpAU,az,9,0.28,3198,30
0E5YMIUgpAU,sv,8,0.25,3198,30
0E5YMIUgpAU,tr,8,0.25,3198,30
0E5YMIUgpAU,bn,7,0.22,3198,30
0E5YMIUgpAU,et,7,0.22,3198,30
0E5YMIUgpAU,id,5,0.16,3198,30
0E5YMIUgpAU,ro,5,0.16,3198,30
0E5YMIUgpAU,ar,4,0.13,3198,30
0E5YMIUgpAU,sk,3,0.09,3198,30
0E5YMIUgpAU,pt,2,0.06,3198,30
0E5YMIUgpAU,el,1,0.03,3198,30
0E5YMIUgpAU,eu,1,0.03,3198,30
0E5YMIUgpAU,he,1,0.03,3198,30
0E5YMIUgpAU,hu,1,0.03,3198,30
0E5YMIUgpAU,lt,1,0.03,3198,30
0E5YMIUgpAU,ru,1,0.03,3198,30
0E5YMIUgpAU,sl,1,0.03,3198,30
x0Lo7nqjMoc,en,150,132.74,113,9
x0Lo7nqjMoc,fi,6,5.31,113,9
x0Lo7nqjMoc,ja,6,5.31,113,9
x0Lo7nqjMoc,es,4,3.54,113,9
x0Lo7nqjMoc,it,4,3.54,113,9
x0Lo7nqjMoc,de,3,2.65,113,9
x0Lo7nqjMoc,fr,3,2.65,113,9
