video_id,title,published_at,channel_id,channel_title,view_count,like_count,comment_count,total_comments_processed,languages
NSGsLxzceWE,[IVE ON] &#39;ATTITUDE&#39; DANCE PRACTICE BEHIND,2025-03-10T14:00:22Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,255543,12038,383,100,"{'en': 24, 'ja': 12, 'unknown': 3, 'fr': 1, 'ko': 47, 'cy': 4, 'tl': 1, 'es': 1, 'pt': 2, 'fi': 1, 'sk': 1, 'af': 1, 'it': 1, 'uk': 1}"
fSbk4TOL8Sw,[IVE ON] &#39;REBEL HEART&#39; DANCE PRACTICE BEHIND,2025-03-08T14:00:53Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,357724,15935,689,100,"{'sw': 1, 'en': 37, 'cy': 12, 'ko': 27, 'tr': 1, 'unknown': 7, 'es': 2, 'ja': 6, 'so': 1, 'fr': 1, 'tl': 2, 'pl': 1, 'af': 1, 'ro': 1}"
x9jTUVVPP9Y,유진이가 키우는 병아리 다람쥐 그리고❓｜MMA 2024 BEHIND #2 PREVIEW #Shorts,2025-03-04T07:00:36Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,306269,21929,455,100,"{'ko': 89, 'en': 2, 'af': 1, 'ro': 2, 'tr': 1, 'tl': 1, 'fr': 1, 'unknown': 3}"
wMHj5zJKHdQ,친구 만난 기니? 🐹♡🐶 with #STAYC #재이 #IVE #아이브 #REI #레이 #ATTITUDE #REBELHEART #Shorts,2025-03-03T09:00:59Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,720716,56493,533,100,"{'ko': 51, 'unknown': 9, 'en': 25, 'tr': 1, 'id': 2, 'lv': 1, 'et': 1, 'ja': 2, 'de': 2, 'ro': 2, 'ca': 1, 'ru': 1, 'sq': 1, 'th': 1}"
L6QjlfpJ5_c,손끝엔 기니 🫳🐹 with #KiiiKiii #지유 #IVE #아이브 #LEESEO #이서 #키키 #JIYU #ATTITUDE #REBELHEART #Shorts,2025-03-02T12:32:11Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,1054310,95655,1661,100,"{'ko': 67, 'en': 9, 'unknown': 6, 'es': 1, 'ja': 8, 'et': 2, 'da': 1, 'vi': 1, 'so': 1, 'af': 2, 'ca': 1, 'de': 1}"
SsNp8nQ2Z9s,[IVE ON] &#39;ATTITUDE&#39; 첫주 BEHIND,2025-02-28T14:00:30Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,293288,13177,597,100,"{'ko': 52, 'unknown': 5, 'cy': 9, 'en': 17, 'ja': 8, 'ro': 1, 'ca': 1, 'sl': 1, 'it': 1, 'de': 1, 'so': 1, 'id': 1, 'zh-cn': 2}"
B24JJKDGqv4,luther Covered by IVE REI,2025-02-27T14:00:17Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,1887854,99861,2212,100,"{'ko': 20, 'unknown': 6, 'ja': 7, 'en': 33, 'so': 4, 'ro': 3, 'sw': 3, 'nl': 1, 'sq': 1, 'de': 3, 'it': 3, 'mk': 1, 'sl': 3, 'hu': 1, 'id': 1, 'et': 1, 'sk': 1, 'da': 1, 'af': 1, 'pl': 1, 'cy': 1, 'pt': 2, 'ca': 1, 'no': 1}"
3QALoo0bRaA,#IVE #IVE_EMPATHY &#39;IVE&#39;S WEEK&#39; DAY 8 🛗 #Shorts,2025-02-24T10:00:04Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,270230,29428,473,100,"{'ko': 62, 'ja': 7, 'en': 12, 'unknown': 7, 'pl': 2, 'it': 2, 'so': 1, 'tr': 1, 'da': 2, 'de': 2, 'sk': 1, 'fr': 1}"
SVLIKOPFO_U,안르테미스와 아기 아르테미스🏹｜2024 MAMA AWARDS BEHIND #2 PREVIEW #Shorts,2025-02-24T07:00:30Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,316402,30823,359,100,"{'ko': 63, 'sw': 1, 'id': 1, 'en': 14, 'fi': 1, 'ja': 5, 'unknown': 6, 'sl': 1, 'et': 2, 'so': 2, 'it': 1, 'af': 1, 'ro': 1, 'nl': 1}"
KrBWDE11ey0,딸기니❓ 기니니❔ #IVE #아이브 #REI #레이 #ATTITUDE #REBELHEART #Shorts,2025-02-24T05:00:15Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,958962,86349,1080,100,"{'ko': 64, 'it': 2, 'ja': 8, 'et': 1, 'sl': 1, 'en': 11, 'unknown': 3, 'ru': 2, 'af': 2, 'sk': 1, 'cy': 1, 'sw': 1, 'de': 1, 'fr': 1, 'ro': 1}"
qzliyZ4TOLA,#IVE #IVE_EMPATHY &#39;IVE&#39;S WEEK&#39; DAY 7 🍀 #Shorts,2025-02-23T11:01:11Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,879211,64048,679,100,"{'ko': 54, 'fr': 1, 'es': 2, 'id': 1, 'en': 20, 'ru': 3, 'unknown': 3, 'ro': 1, 'cy': 2, 'vi': 1, 'sl': 2, 'ja': 6, 'sw': 1, 'tl': 1, 'th': 1, 'de': 1}"
q5tmSFR8uHk,luther Covered by IVE REI (#Shorts ver.) #IVE #아이브 #REI #레이 #ATTITUDE #REBELHEART #DIVE_INTO_IVE,2025-02-23T04:50:00Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,437020,64994,868,100,"{'ko': 42, 'ja': 3, 'en': 26, 'ro': 2, 'nl': 2, 'de': 3, 'vi': 2, 'id': 1, 'tl': 2, 'unknown': 6, 'no': 2, 'fr': 1, 'ca': 2, 'sw': 1, 'sl': 1, 'sv': 1, 'da': 1, 'so': 1, 'pl': 1}"
OOByKuZPVUM,𝚆𝚒𝚗𝚝𝚎𝚛𝚒𝚗𝚐 ⛄️🤍⛄️ #IVE #아이브 #IVE_EMPATHY #ATTITUDE #REBELHEART #Shorts,2025-02-22T11:00:34Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,199038,34121,552,100,"{'ko': 83, 'ja': 2, 'en': 5, 'cy': 1, 'vi': 1, 'unknown': 3, 'fr': 1, 'ca': 1, 'pt': 1, 'id': 1, 'sk': 1}"
FUvdnUUqU2w,#IVE #IVE_EMPATHY &#39;IVE&#39;S WEEK&#39; DAY 2 🫶 #Shorts,2025-02-21T02:30:12Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,116744,22193,384,100,"{'ko': 65, 'en': 17, 'ro': 1, 'unknown': 5, 'sk': 1, 'so': 2, 'et': 1, 'ja': 1, 'sq': 1, 'af': 1, 'es': 1, 'tr': 1, 'sw': 1, 'cy': 1, 'cs': 1}"
lv6G_hG2YkI,𝐖𝐚𝐧𝐧𝐚 𝐛𝐞 𝐲𝐨𝐮𝐫 𝐥𝐨𝐯𝐞 𝐟𝐨𝐨𝐥 ❄ #IVE #아이브 #IVE_EMPATHY #ATTITUDE #REBELHEART #Shorts,2025-02-20T13:30:30Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,383765,51561,840,100,"{'ko': 67, 'en': 10, 'unknown': 8, 'ja': 4, 'de': 5, 'tl': 1, 'no': 1, 'so': 1, 'et': 1, 'cy': 1, 'vi': 1}"
oPjzn7XlPNQ,𝑺𝒊𝒈𝒎𝒂 𝑮𝒊𝒓𝒍🐈‍⬛🖤 #IVE #아이브 #JANGWONYOUNG #장원영 #ATTITUDE #REBELHEART #Shorts,2025-02-19T12:01:15Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,1879257,184514,5437,100,"{'en': 28, 'ko': 26, 'ru': 7, 'unknown': 6, 'so': 3, 'af': 3, 'tl': 7, 'de': 4, 'pt': 2, 'hr': 1, 'cs': 1, 'fr': 1, 'id': 2, 'ja': 1, 'sw': 1, 'pl': 1, 'nl': 2, 'ro': 2, 'uk': 1, 'bg': 1}"
an6N90SBPd8,레이가 웅장하고 노래가 귀여워요 🐹ྀི🔍 #IVE #아이브 #REI #레이 #ATTITUDE #REBELHEART #Shorts,2025-02-18T11:00:07Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,535364,59038,833,100,"{'it': 2, 'ko': 49, 'en': 13, 'es': 5, 'et': 2, 'id': 2, 'ja': 12, 'nl': 1, 'af': 1, 'ro': 1, 'unknown': 3, 'pt': 1, 'cy': 2, 'so': 1, 'vi': 1, 'lt': 1, 'fr': 1, 'hr': 1, 'zh-cn': 1}"
otFPRDXFP2M,이게 바로 폭주라는 거야 🐹❤️‍🔥 #IVE #아이브 #ATTITUDE #REBELHEART #Shorts,2025-02-18T07:01:28Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,2928035,202068,1285,100,"{'ko': 53, 'en': 19, 'ro': 2, 'cs': 2, 'no': 1, 'af': 1, 'ja': 7, 'de': 1, 'nl': 1, 'th': 1, 'cy': 1, 'unknown': 4, 'sw': 1, 'tr': 1, 'fr': 2, 'tl': 1, 'so': 1, 'lt': 1}"
xMilZv-Clms,IVE 아이브 MV &#39;ATTITUDE&#39; - Behind The Scenes,2025-02-17T14:01:15Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,347729,15227,755,100,"{'ko': 33, 'unknown': 5, 'en': 31, 'ja': 5, 'cy': 16, 'zh-tw': 1, 'fr': 3, 'lv': 1, 'es': 1, 'et': 1, 'so': 3}"
