video_id,video_link,title,comment_count,like_count,languages_used,en,ko,unknown,de,tl,id,es,tr,et,cy,ca,pl,pt,so,ru,ja,hr,ro,ar,it,af,th,fi,da,nl,sw,vi,hu,fr,sv,no,fa,sq,cs,bg,lt,sl,sk,lv,uk,mk,zh-cn,he,el,bn,ur,te,pa,zh-tw,ml,ta,kn,gu,ne,hi,mr
JqwPCzJnYyY,https://www.youtube.com/watch?v=JqwPCzJnYyY,"Stray Kids ""MEGAVERSE"" Video",49434.0,1863724,47.0,18767,1379,2159,4438,1060,499,2971,979,237,961,559,398,1837,1562,3682,549,166,183,235,428,406,24,177,605,415,906,888,224,496,140,387,66,35,76,451,71,280,117,16,342,219,19,5,6,0,9,0,0,4,0,1,0,0,0,0,0
9j6_KM-uzfY,https://www.youtube.com/watch?v=9j6_KM-uzfY,"TWICE ""The Feels"" Choreography Video (Moving Ver.)",26792.0,1835297,49.0,10792,775,1917,675,934,448,1169,320,254,833,181,378,501,847,202,1068,109,133,710,286,217,56,184,128,284,1132,558,230,428,59,213,213,65,94,13,45,135,86,17,7,11,27,0,3,1,38,0,0,13,0,1,0,0,0,1,1
_btxV8tJM7w,https://www.youtube.com/watch?v=_btxV8tJM7w,D.O. 디오 'Rose' MV,331326.0,1821978,55.0,87544,4569,19563,9623,23439,48096,8673,14899,3058,4705,2760,1627,6345,13026,1287,329,1684,3901,26842,2188,4475,621,3174,2386,4208,5161,2781,1634,3192,1011,3585,5183,512,2342,106,323,2912,1763,141,116,71,196,1,40,59,1115,0,2,9,1,1,40,3,2,1,1
H29bXhbpNl8,https://www.youtube.com/watch?v=H29bXhbpNl8,BTS (방탄소년단) 'BANG BANG CON21' Jin & JungKook #shorts,100.0,1821318,24.0,29,5,16,1,3,5,5,1,1,0,0,0,6,3,1,3,2,0,2,1,4,0,2,0,2,3,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fnregFDuYk,https://www.youtube.com/watch?v=1fnregFDuYk,BTS (방탄소년단) 'Butter' @ CDTV Live! Live!,55641.0,1802594,55.0,16757,4113,5782,2163,1293,1249,2587,703,637,574,338,415,1150,1528,395,615,264,293,6338,357,581,74,473,568,477,528,449,144,856,96,975,539,162,606,29,105,640,394,82,34,18,28,2,8,17,168,2,1,6,12,3,5,2,0,5,1
zVneES4ipy4,https://www.youtube.com/watch?v=zVneES4ipy4,#필릭스 의 #특챌린지 #S_Class_Challenge ✨ w/ #TWICE #트와이스 #DAHYUN #다현 선배님!🍭 #StrayKids #스트레이키즈 #Felix,7875.0,1730191,46.0,2625,715,520,295,98,161,277,328,42,125,179,60,173,283,438,449,16,108,159,41,64,13,29,31,53,33,36,16,129,17,44,28,12,19,69,22,26,17,2,36,62,12,1,1,0,6,0,0,5,0,0,0,0,0,0,0
F9CrRG6j2SM,https://www.youtube.com/watch?v=F9CrRG6j2SM,[M/V] SEVENTEEN(세븐틴) - HIT,90662.0,1710641,50.0,46464,3183,7553,4496,1997,2133,1942,369,555,1602,601,1296,1319,2596,282,1050,249,296,460,620,1233,182,469,666,2522,1450,1424,320,969,334,655,100,405,114,33,71,295,139,26,26,17,85,1,7,1,23,0,0,29,0,1,1,0,0,1,0
R9VDPMk5ls0,https://www.youtube.com/watch?v=R9VDPMk5ls0,[M/V] SEVENTEEN(세븐틴) - Home,117036.0,1691011,51.0,64448,4115,10651,5144,2076,2321,2132,327,683,1897,778,445,1276,2850,126,583,298,452,338,749,1543,171,521,978,3819,1799,1429,335,1304,512,920,60,229,303,10,76,364,579,42,30,6,242,0,22,0,11,1,4,28,1,1,0,1,0,6,0
XO9GiPOLd3I,https://www.youtube.com/watch?v=XO9GiPOLd3I,"“Santa Tell Me (Ariana Grande)"" Cover by NAYEON",68400.0,1581526,49.0,28666,2876,3302,1885,8546,1167,2201,414,456,1227,483,428,1430,1904,87,1966,425,912,962,832,587,120,580,282,1048,855,1561,369,712,115,384,184,81,390,13,51,392,358,19,14,8,42,1,7,0,46,0,0,8,0,0,0,1,1,2,0
sm7MPK5FqV8,https://www.youtube.com/watch?v=sm7MPK5FqV8,A little taste😋 of #BTS_Dynamite on the 1B Spotify Plaque🍽️🥳 #BTS #방탄소년단 #다마스포티파이10억스트리밍_감사합니다💜,14953.0,1562414,49.0,5341,1018,2180,536,383,290,834,242,118,158,109,144,279,312,116,101,62,153,459,145,105,16,154,100,232,115,130,43,320,26,107,72,23,168,16,15,156,112,10,7,11,2,1,0,8,18,0,0,1,2,1,0,0,0,2,0
